State,CMS Certification Number (CCN),Provider Name,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
9,87043,1743,512,19904,3028832059,3,Yes,No,No,No,No,Yes,1714251600.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,87044,1744,512,19901,3029669604,3,Yes,Yes,Yes,Yes,Yes,No,1763589600.0,4.0,100.0,80.3,82.7,83.2,81.3,93.1,90.4,12.8,9.6,0.4,98.8,0.4,100.0,"1,235","1,272",97.09,93.12,92.10,93.98,Better Than National Rate,3,184,1.63,3.86,2.69,5.79,Same As National Rate,9,602,1.50,4.50,2.84,6.54,Better Than National Rate,0.83,"1,227"
9,87048,1745,317,19713,3025256331,3,Yes,No,No,No,No,Yes,1829080800.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,87049,155,511,19720,3023222300,3,Yes,Yes,No,No,No,No,1832104800.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,87052,1746,518,19703,3027921900,3,Yes,No,No,No,No,Yes,1901653200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,87301,1735,34,19934,3026984300,2,Yes,Yes,Yes,Yes,Yes,Yes,1309294800.0,3.0,96.9,68.2,81.6,84.1,82.6,90.2,76.8,15.2,16.5,0.4,94.1,0.4,98.7,"1,170","1,477",79.21,88.16,85.58,90.32,Better Than National Rate,50,899,5.56,4.74,3.74,5.91,Same As National Rate,83,725,11.45,9.75,7.98,11.87,Same As National Rate,1.06,"2,277"
10,103100,1747,519,33614,-,3,Yes,Yes,Yes,No,Yes,Yes,1630962000.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103125,1748,520,33483,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1653598800.0,4.5,100.0,78.6,84.8,85.2,92.9,88.7,85.3,11.1,9.5,0.0,99.9,0.4,99.9,"1,027","1,155",88.92,90.88,88.82,92.41,Better Than National Rate,19,617,3.08,4.01,3.00,5.32,Same As National Rate,35,603,5.80,7.83,5.86,10.53,Same As National Rate,1.06,"1,551"
10,103127,1749,521,32827,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1657400400.0,4.0,98.8,67.6,87.3,87.7,91.0,90.3,86.0,18.1,9.7,0.3,99.2,0.8,100.0,"1,191","1,638",72.71,79.64,77.46,81.76,Better Than National Rate,37,626,5.91,4.66,3.66,6.01,Same As National Rate,83,778,10.67,9.54,7.80,11.37,Same As National Rate,1.05,"2,323"
10,103133,1750,522,32960,-,3,Yes,Yes,Yes,Yes,No,Yes,1664571600.0,4.0,100.0,54.8,82.5,87.3,86.3,87.4,81.8,12.7,8.8,0.0,100.0,0.7,99.7,327,374,87.43,90.82,86.75,94.11,Better Than National Rate,9,247,3.64,4.12,2.89,5.81,Same As National Rate,19,226,8.41,8.32,5.96,11.57,Same As National Rate,0.96,478
10,103136,1751,523,33907,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1667077200.0,4.5,98.4,48.9,86.7,95.9,88.0,91.0,88.8,10.1,12.0,0.0,98.8,0.8,100.0,576,718,80.22,88.13,84.88,91.11,Better Than National Rate,19,370,5.14,4.16,3.06,5.71,Same As National Rate,34,357,9.52,8.59,6.57,11.39,Same As National Rate,0.97,893
10,103138,1752,524,32502,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1661634000.0,4.0,100.0,82.1,85.8,85.5,91.2,87.6,91.7,13.2,14.6,0.0,99.6,1.4,99.9,"1,628","2,158",75.44,79.98,78.00,81.84,Better Than National Rate,25,850,2.94,3.55,2.75,4.63,Same As National Rate,162,"1,288",12.58,13.30,11.56,15.10,Worse Than National Rate,1.08,"4,162"
10,103139,1753,525,33458,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1664658000.0,4.5,89.4,80.3,96.7,97.4,94.7,100.0,82.8,12.9,6.3,0.0,84.3,0.0,92.7,151,230,65.65,72.04,65.54,77.73,Same As National Rate,2,60,3.33,3.79,2.54,5.27,Same As National Rate,3,61,4.92,8.22,4.59,13.40,Same As National Rate,1.03,279
10,103140,1754,526,33411,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1664658000.0,4.5,97.8,91.6,93.3,88.0,93.3,100.0,96.6,5.7,9.2,0.0,98.7,1.9,100.0,397,434,91.47,92.80,89.50,95.14,Better Than National Rate,1,47,2.13,3.81,2.49,5.39,Same As National Rate,15,238,6.30,8.70,6.08,12.83,Same As National Rate,1.19,563
10,103144,1755,521,32819,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1667512800.0,5.0,99.4,82.0,95.0,94.7,98.1,87.4,93.4,10.1,10.3,0.3,97.3,0.2,93.9,544,754,72.15,77.63,74.23,80.96,Same As National Rate,3,219,1.37,3.16,2.18,4.51,Same As National Rate,31,405,7.65,7.77,5.73,10.33,Same As National Rate,1.01,"1,473"
10,103145,1756,519,33610,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1645912800.0,3.5,99.3,71.8,83.1,87.7,83.9,85.5,78.6,14.9,9.7,0.2,99.0,0.8,99.7,"2,286","2,809",81.38,85.90,84.35,87.44,Better Than National Rate,21,974,2.16,3.14,2.29,4.07,Same As National Rate,127,"1,548",8.20,8.66,7.50,10.26,Same As National Rate,1.05,"4,288"
10,103148,1757,521,32811,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1666386000.0,3.5,97.4,56.3,85.6,85.7,87.8,100.0,70.3,18.5,7.2,0.4,96.0,0.0,92.3,308,405,76.05,80.62,76.48,84.08,Same As National Rate,3,87,3.45,3.86,2.70,5.55,Same As National Rate,14,199,7.04,8.36,5.61,11.62,Same As National Rate,1.13,590
10,103153,183,527,33431,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1671919200.0,4.0,99.0,87.4,88.9,88.0,88.5,86.9,85.6,12.7,10.8,0.0,93.0,0.9,99.9,937,"1,107",84.64,88.56,86.44,90.70,Better Than National Rate,14,400,3.50,4.12,2.88,5.57,Same As National Rate,28,637,4.40,5.30,4.03,7.20,Better Than National Rate,1.06,"1,518"
10,103156,1758,137,32935,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1670709600.0,3.0,92.1,78.9,82.8,82.7,87.4,85.4,82.5,12.8,9.4,0.3,99.2,0.3,99.8,635,725,87.59,87.68,85.28,89.88,Better Than National Rate,5,260,1.92,3.89,2.69,5.53,Same As National Rate,25,405,6.17,8.50,6.17,11.50,Same As National Rate,0.94,973
10,103158,1749,526,33409,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1666558800.0,4.5,99.5,79.7,85.3,87.1,88.7,90.6,87.3,10.5,10.3,0.3,99.3,1.2,100.0,"1,084","1,350",80.30,85.07,82.73,87.22,Better Than National Rate,17,454,3.74,4.12,3.07,5.48,Same As National Rate,63,786,8.02,8.10,6.54,9.91,Better Than National Rate,1.13,"2,001"
10,103159,1759,528,33024,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1667077200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103160,173,529,33351,-,3,Yes,Yes,No,Yes,No,Yes,1672610400.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103167,1756,530,34474,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1671228000.0,3.0,96.2,54.3,87.5,89.6,90.2,81.0,79.0,16.9,11.8,0.0,99.3,1.4,99.3,"1,320","1,672",78.95,86.97,84.74,89.15,Better Than National Rate,30,638,4.70,4.25,3.19,5.59,Same As National Rate,110,883,12.46,10.93,9.32,12.80,Same As National Rate,1.05,"2,333"
10,103168,1760,531,33306,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1671228000.0,4.5,95.9,92.8,93.1,94.9,97.0,91.8,96.5,13.4,9.3,0.1,96.7,0.6,99.6,531,842,63.06,70.50,67.13,73.78,Worse Than National Rate,20,349,5.73,4.52,3.38,5.98,Same As National Rate,53,394,13.45,11.87,9.44,14.61,Same As National Rate,1.14,"1,693"
10,103169,1761,532,32792,-,5,Yes,Yes,Yes,Yes,No,No,1672524000.0,3.5,95.7,98.5,84.6,86.4,86.8,95.0,79.2,15.2,6.8,0.0,100.0,1.7,100.0,116,150,77.33,79.53,72.51,85.88,Same As National Rate,2,42,4.76,4.05,2.72,6.17,Same As National Rate,5,93,5.38,8.70,5.15,14.54,Same As National Rate,1.09,179
10,103170,22,533,34684,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1674684000.0,2.5,95.5,75.7,79.1,83.8,82.9,79.4,75.6,14.2,12.0,0.1,98.9,1.3,97.4,"1,175","1,661",70.74,76.48,74.23,78.87,Same As National Rate,17,467,3.64,3.75,2.82,5.06,Same As National Rate,87,792,10.98,10.45,8.69,12.48,Same As National Rate,1.11,"2,858"
10,103172,1762,534,34221,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1674943200.0,2.5,98.9,68.3,77.4,81.4,82.2,72.2,76.0,19.3,7.9,0.3,97.3,2.0,98.8,898,"1,131",79.40,83.23,80.56,85.77,Better Than National Rate,10,294,3.40,3.84,2.80,5.37,Same As National Rate,59,592,9.97,10.46,8.23,13.06,Same As National Rate,1.08,"1,853"
10,103174,1763,116,32216,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1677362400.0,3.5,86.8,74.0,84.1,86.1,88.5,92.6,80.8,12.9,12.2,0.1,96.6,0.6,98.9,"2,766","3,787",73.04,79.65,78.10,81.13,Better Than National Rate,49,"1,601",3.06,3.46,2.81,4.35,Same As National Rate,249,"3,006",8.28,7.72,6.87,8.60,Better Than National Rate,0.99,"4,620"
10,103175,1756,535,33763,-,3,Yes,Yes,Yes,Yes,Yes,No,1676671200.0,3.0,96.7,65.0,84.1,84.1,85.0,86.0,78.5,14.1,8.4,0.2,97.6,1.1,99.2,"1,534","2,015",76.13,81.76,79.86,83.86,Better Than National Rate,27,493,5.48,4.72,3.62,6.13,Same As National Rate,87,938,9.28,9.26,7.64,11.10,Same As National Rate,1.04,"2,989"
10,103176,1764,536,33016,3052495218,3,Yes,No,No,No,No,Yes,1671400800.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103178,1765,537,33009,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1677189600.0,3.0,98.2,79.6,80.6,84.2,88.0,78.9,76.0,12.5,11.7,0.1,99.6,0.0,97.8,747,"1,007",74.18,80.55,77.68,83.63,Better Than National Rate,24,498,4.82,4.31,3.19,5.54,Same As National Rate,40,555,7.21,6.96,5.36,8.87,Better Than National Rate,1.01,"1,730"
10,103180,1766,538,33511,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1674943200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103183,1767,116,32204,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1679263200.0,3.0,85.2,62.2,82.6,76.0,80.5,85.0,86.1,12.9,17.3,0.0,96.6,2.1,100.0,161,229,70.31,79.91,72.81,85.86,Same As National Rate,4,67,5.97,3.99,2.70,5.67,Same As National Rate,22,112,19.64,14.39,10.25,19.95,Worse Than National Rate,1.13,439
10,103185,1768,539,33065,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1681938000.0,2.5,99.7,50.7,64.0,67.6,67.1,73.3,56.5,13.3,14.8,0.7,94.0,0.0,88.9,259,362,71.55,76.27,71.36,80.63,Same As National Rate,5,211,2.37,3.57,2.46,4.99,Same As National Rate,18,195,9.23,9.24,6.58,13.03,Same As National Rate,0.95,974
10,103188,1769,540,33462,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1682542800.0,4.0,100.0,80.6,82.8,85.9,85.7,96.1,85.0,12.3,9.6,0.0,99.3,0.3,99.9,"1,792","1,885",95.07,88.92,87.73,89.83,Better Than National Rate,11,662,1.66,4.07,2.89,5.71,Same As National Rate,21,983,2.14,5.30,3.83,7.55,Better Than National Rate,0.86,"1,930"
10,103191,1770,527,33487,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1675029600.0,2.0,99.2,89.6,65.3,75.5,80.1,60.3,56.9,17.1,13.7,0.0,78.5,0.0,100.0,237,348,68.10,71.62,66.81,76.39,Worse Than National Rate,1,38,2.63,3.82,2.53,5.60,Same As National Rate,15,156,9.62,11.03,7.53,15.85,Same As National Rate,1.20,538
10,103192,1771,541,34761,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1678399200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103193,1772,542,33025,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1679176800.0,2.5,98.8,69.9,67.3,65.5,68.8,98.3,62.9,-,-,0.5,74.9,0.0,76.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,103195,1773,543,33351,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1679090400.0,4.0,99.0,91.0,90.1,90.5,88.6,91.0,89.2,15.8,8.4,0.0,99.7,0.0,100.0,593,666,89.04,91.76,89.07,93.85,Better Than National Rate,11,185,5.95,4.53,3.19,6.35,Same As National Rate,12,241,4.98,7.06,4.66,10.15,Same As National Rate,0.94,720
10,103197,1774,544,33765,-,3,Yes,Yes,Yes,Yes,Yes,Yes,1683838800.0,2.5,99.5,89.1,74.5,81.0,79.1,79.3,74.5,18.8,8.4,0.0,99.2,0.3,100.0,325,408,79.66,84.00,79.68,87.73,Better Than National Rate,5,204,2.45,3.57,2.47,4.97,Same As National Rate,33,280,11.79,11.86,8.87,15.16,Same As National Rate,1.00,524
10,107006,1775,524,32502,8504760628,3,Yes,Yes,Yes,Yes,Yes,Yes,204757200.0,4.5,97.3,56.5,89.3,90.3,94.4,93.0,91.4,14.6,14.5,0.2,96.8,0.6,99.9,"1,645","2,058",79.93,87.12,85.19,88.88,Better Than National Rate,35,"1,252",2.80,3.29,2.51,4.23,Same As National Rate,146,"1,058",13.80,12.15,10.54,14.07,Worse Than National Rate,1.03,"3,093"
10,107007,16,545,33881,-,3,Yes,Yes,Yes,Yes,Yes,Yes,551912400.0,4.0,99.8,73.7,88.5,88.4,92.4,90.3,84.8,16.2,10.3,0.0,98.5,0.4,99.3,"2,373","3,166",74.95,81.55,79.99,83.07,Better Than National Rate,58,"1,513",3.83,3.92,3.07,4.76,Same As National Rate,144,"1,502",9.59,8.89,7.70,10.30,Same As National Rate,1.01,"4,156"
10,107009,1776,530,34471,-,3,Yes,Yes,Yes,Yes,Yes,Yes,204757200.0,4.5,99.9,50.4,89.4,89.7,90.5,97.0,86.2,11.1,12.1,0.2,99.5,0.2,100.0,515,698,73.78,81.11,77.51,84.28,Better Than National Rate,25,502,4.98,4.21,3.17,5.50,Same As National Rate,42,335,12.54,10.65,8.21,13.89,Same As National Rate,0.91,889
10,107017,15,519,33614,8139618446,3,Yes,Yes,Yes,Yes,Yes,Yes,451947600.0,4.5,99.3,84.0,92.8,92.8,89.9,96.5,87.5,14.5,8.9,0.0,96.7,0.6,99.4,"1,509","2,089",72.24,76.85,75.07,78.78,Same As National Rate,21,608,3.45,4.12,3.16,5.37,Same As National Rate,102,"1,113",9.16,9.15,7.73,10.77,Same As National Rate,1.01,"3,391"
10,107036,1777,522,32960,7727949777,3,Yes,Yes,Yes,Yes,Yes,Yes,205880400.0,4.5,98.9,63.3,92.3,93.3,92.8,87.4,85.7,13.8,17.4,0.5,93.5,0.6,99.5,656,780,84.10,86.29,83.57,88.94,Better Than National Rate,4,246,1.63,3.59,2.53,5.12,Same As National Rate,36,384,9.38,10.27,7.81,13.29,Same As National Rate,1.13,"1,321"
10,107073,1778,531,33316,9547852990,3,Yes,Yes,Yes,No,Yes,Yes,330987600.0,3.0,98.9,76.9,79.7,78.5,82.3,83.5,70.5,-,-,0.0,98.9,0.0,96.0,87,111,78.38,88.03,79.83,95.68,Better Than National Rate,13,110,11.82,5.11,3.57,7.10,Same As National Rate,1,23,4.35,8.97,4.91,15.77,Same As National Rate,1.00,151
10,107088,1779,546,33134,3058895332,3,Yes,Yes,Yes,Yes,Yes,Yes,450651600.0,3.0,100.0,85.6,65.3,62.6,74.0,78.9,74.4,13.1,10.5,0.0,99.6,0.0,98.0,255,336,75.89,84.16,78.89,88.75,Better Than National Rate,0,62,0.00,3.51,2.38,4.99,Same As National Rate,12,168,7.14,8.00,5.29,11.20,Same As National Rate,1.09,840
10,107099,1780,547,32407,8507695256,3,Yes,Yes,Yes,Yes,Yes,No,477439200.0,4.0,97.6,63.1,89.3,86.4,95.4,91.2,92.7,18.9,15.2,0.8,97.6,1.2,100.0,158,246,64.23,71.17,64.67,77.65,Same As National Rate,1,98,1.02,3.51,2.41,5.04,Same As National Rate,15,129,11.63,9.63,6.50,13.92,Same As National Rate,1.16,503
10,107103,1781,531,33309,-,3,Yes,Yes,Yes,Yes,Yes,Yes,487544400.0,4.5,98.5,61.8,91.0,89.5,91.1,89.0,89.1,9.8,6.6,0.0,99.5,0.0,98.5,455,541,84.10,88.19,84.66,91.03,Better Than National Rate,9,158,5.70,4.39,3.12,5.96,Same As National Rate,21,299,7.02,7.74,5.60,10.70,Same As National Rate,1.08,686
10,107110,1782,548,33319,9544863660,1,Yes,Yes,Yes,Yes,Yes,Yes,494110800.0,3.5,99.7,84.8,82.6,83.3,84.6,84.1,80.3,12.4,11.1,0.0,99.1,0.2,99.5,405,506,80.04,87.10,83.37,90.79,Better Than National Rate,11,310,3.55,3.72,2.64,5.17,Same As National Rate,10,216,4.63,6.00,4.07,8.56,Better Than National Rate,0.98,567
10,107112,15,137,32940,3212559995,3,Yes,Yes,Yes,Yes,Yes,Yes,496875600.0,4.5,100.0,88.6,92.6,92.6,93.6,94.5,87.0,14.4,12.9,0.1,99.6,1.8,100.0,747,968,77.17,81.54,78.58,84.26,Better Than National Rate,7,326,2.15,3.64,2.53,5.21,Same As National Rate,35,585,5.98,6.82,5.09,8.93,Better Than National Rate,1.03,"1,654"
10,107115,1783,549,32308,-,5,Yes,Yes,Yes,Yes,Yes,Yes,614984400.0,3.0,99.5,78.9,77.0,80.5,76.7,81.0,75.4,14.6,13.1,1.1,98.3,1.0,98.3,248,274,90.51,91.37,86.96,94.20,Better Than National Rate,4,87,4.60,4.00,2.81,5.71,Same As National Rate,8,141,5.67,8.77,5.53,13.55,Same As National Rate,1.04,320
10,107117,1784,546,33134,-,3,Yes,Yes,Yes,Yes,Yes,Yes,499122000.0,2.5,100.0,97.3,65.6,70.3,75.0,54.6,68.4,19.2,9.3,0.3,99.2,0.0,98.9,270,376,71.81,82.83,77.12,87.51,Better Than National Rate,10,168,5.95,4.12,3.07,5.83,Same As National Rate,16,172,9.30,7.90,5.57,10.85,Same As National Rate,1.01,635
10,107120,1785,519,33618,8138728566,3,Yes,Yes,Yes,Yes,No,No,496530000.0,4.0,99.4,83.2,83.7,87.9,89.9,89.2,86.6,13.3,9.8,0.0,99.2,0.2,99.2,407,485,83.92,84.17,80.55,86.75,Better Than National Rate,5,140,3.57,4.07,2.83,6.02,Same As National Rate,6,210,2.86,6.31,4.14,9.84,Better Than National Rate,0.98,512
10,107125,1786,116,32209,-,2,Yes,Yes,Yes,Yes,Yes,Yes,506988000.0,3.0,92.9,55.7,86.7,84.1,85.2,77.3,81.5,12.3,9.9,0.7,97.5,0.2,99.4,219,343,63.85,70.93,64.95,76.21,Worse Than National Rate,7,109,6.42,4.18,2.87,5.73,Same As National Rate,11,175,6.29,7.01,4.58,10.55,Same As National Rate,0.91,431
10,107132,15,550,34232,-,3,Yes,Yes,Yes,Yes,No,No,512517600.0,4.5,98.2,65.2,92.4,91.3,92.1,95.8,87.6,14.7,11.8,0.0,97.3,1.0,99.3,443,572,77.45,82.15,78.55,85.71,Better Than National Rate,6,217,2.76,3.83,2.76,5.27,Same As National Rate,28,289,9.69,9.90,7.38,13.32,Same As National Rate,1.07,"1,230"
10,107134,1787,522,32960,7725675551,5,Yes,Yes,Yes,Yes,Yes,Yes,501976800.0,3.5,94.1,56.0,84.0,85.4,88.6,86.0,79.6,13.6,13.8,0.3,95.3,0.5,99.6,"2,256","2,702",83.49,91.51,89.88,92.98,Better Than National Rate,49,"1,210",4.05,3.90,3.12,4.82,Same As National Rate,122,"1,523",8.01,7.33,6.20,8.44,Better Than National Rate,1.07,"3,615"
10,107136,15,551,34203,-,3,Yes,Yes,Yes,Yes,Yes,Yes,512431200.0,4.5,99.7,51.7,97.7,96.1,94.1,87.8,88.4,15.8,6.8,0.0,99.4,0.1,98.8,927,"1,167",79.43,84.59,81.82,86.94,Better Than National Rate,14,586,2.39,3.58,2.62,4.77,Same As National Rate,39,555,7.03,7.50,5.67,9.64,Better Than National Rate,1.01,"1,779"
10,107139,1785,535,33760,-,3,Yes,Yes,Yes,Yes,Yes,Yes,525733200.0,4.0,99.5,93.8,85.2,94.4,89.0,89.5,89.0,18.2,11.4,0.0,99.7,0.0,100.0,172,221,77.83,82.21,76.09,87.13,Same As National Rate,5,74,6.76,4.20,3.01,6.20,Same As National Rate,6,169,3.55,5.87,3.71,8.81,Better Than National Rate,1.07,298
10,107142,1788,552,32605,3522650789,5,Yes,Yes,Yes,Yes,Yes,Yes,538956000.0,3.0,90.6,64.3,80.4,84.3,84.2,85.5,78.6,15.1,9.8,0.8,95.6,0.6,98.9,"1,544","2,112",73.11,75.81,74.10,77.69,Same As National Rate,37,961,3.85,4.02,3.12,5.10,Same As National Rate,91,"1,030",8.83,9.90,8.22,11.92,Same As National Rate,0.89,"2,651"
10,107150,1789,553,33461,-,3,Yes,Yes,Yes,Yes,Yes,Yes,544050000.0,3.0,98.1,47.0,80.0,83.9,83.0,72.8,81.1,11.3,15.1,0.3,98.6,0.9,97.2,331,385,85.97,85.61,82.14,88.48,Better Than National Rate,5,147,3.40,3.99,2.69,5.48,Same As National Rate,16,187,8.56,10.89,7.49,16.07,Same As National Rate,1.19,461
10,107151,16,549,32308,8506810080,3,Yes,Yes,Yes,Yes,Yes,Yes,546642000.0,4.0,99.7,82.9,84.1,86.2,88.8,89.0,86.8,11.9,15.5,0.1,98.6,0.9,99.1,730,940,77.66,82.32,79.37,85.24,Better Than National Rate,10,379,2.64,3.56,2.53,4.85,Same As National Rate,27,418,6.46,7.24,5.43,9.57,Better Than National Rate,0.98,"1,322"
10,107155,1790,554,34788,-,1,Yes,Yes,Yes,Yes,Yes,Yes,550011600.0,3.5,95.8,57.4,84.6,89.0,85.6,87.7,80.7,12.3,14.5,0.2,98.1,1.4,99.5,"1,201","1,443",83.23,88.77,86.46,90.55,Better Than National Rate,24,921,2.61,3.23,2.53,4.15,Same As National Rate,46,702,6.55,6.98,5.40,8.74,Better Than National Rate,0.91,"1,620"
10,107159,1791,555,32086,9048105474,1,Yes,Yes,Yes,Yes,Yes,Yes,549752400.0,4.5,99.0,70.6,96.4,92.9,95.2,93.7,92.2,17.4,10.6,0.0,97.5,1.0,99.8,448,584,76.71,84.46,80.75,87.79,Better Than National Rate,6,216,2.78,3.61,2.62,4.96,Same As National Rate,42,309,13.59,11.81,9.32,14.95,Same As National Rate,1.12,905
10,107166,15,556,33812,-,3,Yes,Yes,Yes,Yes,Yes,Yes,551912400.0,4.0,99.8,72.9,95.0,91.7,94.9,90.3,82.2,19.1,8.1,0.0,98.5,2.3,99.8,848,"1,156",73.36,81.71,78.68,84.24,Better Than National Rate,11,440,2.50,3.42,2.45,4.56,Same As National Rate,96,675,14.22,11.91,9.84,14.15,Same As National Rate,1.08,"2,222"
10,107168,20,529,33326,9544344341,3,Yes,Yes,Yes,No,Yes,Yes,551912400.0,4.5,100.0,55.6,89.2,89.1,92.7,95.1,85.0,17.1,12.0,0.0,98.2,0.6,98.2,101,152,66.45,72.97,65.10,80.51,Same As National Rate,3,45,6.67,4.08,2.74,5.80,Same As National Rate,3,64,4.69,8.22,4.79,13.11,Same As National Rate,0.97,234
10,107171,15,535,33759,-,3,Yes,Yes,Yes,Yes,Yes,Yes,559170000.0,4.5,100.0,78.2,92.2,90.3,88.4,92.1,87.2,12.4,10.6,0.2,96.6,0.9,99.5,585,834,70.14,79.47,76.12,82.64,Same As National Rate,8,394,2.03,3.21,2.21,4.49,Same As National Rate,50,420,11.90,9.39,7.16,11.75,Same As National Rate,1.09,"1,648"
10,107177,1792,557,34996,-,5,Yes,Yes,Yes,Yes,Yes,Yes,583448400.0,3.5,99.8,60.7,86.9,84.2,89.8,87.4,80.9,14.5,13.9,0.1,98.6,0.8,99.5,"3,173","3,913",81.09,88.88,87.62,90.26,Better Than National Rate,71,"2,080",3.41,3.59,2.93,4.30,Same As National Rate,163,"2,077",7.85,7.12,6.23,8.12,Better Than National Rate,1.11,"5,613"
10,107179,16,558,32129,-,3,Yes,Yes,Yes,Yes,Yes,Yes,588632400.0,4.5,99.2,73.2,89.4,91.1,92.0,94.5,85.6,12.2,12.3,0.0,99.2,0.7,97.3,"1,081","1,341",80.61,85.81,83.70,88.02,Better Than National Rate,14,476,2.94,3.51,2.62,4.81,Same As National Rate,54,612,8.82,8.95,7.25,11.36,Same As National Rate,1.00,"1,822"
10,107191,1793,523,33913,-,2,Yes,Yes,Yes,Yes,Yes,Yes,692661600.0,3.0,89.1,68.0,80.5,86.0,84.4,87.0,76.9,13.2,9.0,0.3,93.7,0.7,99.7,"1,310","1,583",82.75,87.92,85.83,89.57,Better Than National Rate,45,"1,023",4.40,4.37,3.48,5.61,Same As National Rate,79,789,10.01,9.51,7.94,11.51,Same As National Rate,0.91,"1,690"
